customer_id,orders_placed,products_purchased,amount_spent
8209,3,8,1379.7900047302246
4371,1,2,329.9700012207031
7664,7,27,6129.340091705322
5148,9,19,3679.4000568389893
2989,4,14,3269.620059967041
3155,9,23,4349.360076904297
938,10,31,6364.320161819458
10627,5,14,2423.7200241088867
7583,2,7,1657.8500366210938
8330,8,21,4066.470048904419
1127,4,15,3159.730068206787
5079,2,9,1919.8500595092773
9632,8,20,4839.550086975098
2581,7,23,5649.430072784424
10430,4,12,1889.7700424194336
4551,6,20,3949.5700874328613
9068,5,19,3404.5600624084473
6156,7,27,5743.440141677856
1551,4,11,2589.81005859375
9712,7,21,3694.6000995635986
9691,6,19,3813.70011138916
11988,6,18,3449.5800704956055
7847,4,12,2954.6400394439697
2909,6,25,5359.3601150512695
222,8,23,4294.690092086792
2994,4,17,3279.6000480651855
270,5,17,4069.590103149414
1371,7,19,2874.570068359375
6856,1,1,200.0
5617,6,14,1694.7600440979004
293,5,10,2469.7200622558594
3937,4,11,2499.7900581359863
1145,7,22,4144.540088653564
730,4,10,1489.870029449463
7679,3,12,3449.6500549316406
7121,6,16,2767.6000595092773
10014,3,6,765.8000106811523
2517,4,10,1663.8200302124023
2184,2,9,1709.8300247192383
3704,5,16,2469.620014190674
6675,3,9,1599.880027770996
6489,4,11,1831.760025024414
10573,4,9,1505.8300247192383
9793,5,13,2079.720054626465
10828,3,9,1279.820026397705
6860,3,11,2539.690040588379
8636,3,7,1744.810043334961
3327,2,7,1514.7800331115723
3845,2,7,1659.8400421142578
7635,1,4,869.910026550293
11243,3,8,2049.810047149658
3741,2,6,849.8800086975098
8872,2,2,459.9499931335449
2570,1,3,599.9800109863281
1642,1,4,599.9500198364258
11662,8,25,5066.450122833252
11345,2,4,939.8900146484375
7543,5,16,3137.5000343322754
4072,5,16,3404.5200233459473
3866,3,4,534.939998626709
278,1,4,759.9300117492676
4191,10,28,4489.460094451904
9686,3,8,1246.8400344848633
1532,10,23,4889.480094909668
2944,6,15,2717.480043411255
7424,4,12,1879.8400382995605
2520,6,15,2594.7100582122803
2030,7,14,2669.6500549316406
6905,3,12,2219.7700538635254
2598,3,6,879.8399963378906
10004,4,8,1349.8000297546387
10205,3,10,2349.7100372314453
705,9,23,3883.4800872802734
8509,6,18,3864.360061645508
1690,4,9,1729.8400573730469
1175,7,20,4609.570068359375
7595,7,23,4615.550073623657
1463,3,7,1063.7300033569336
6129,4,11,1839.7600288391113
12422,3,8,1259.820026397705
7146,2,5,469.9300117492676
3034,8,13,2569.7400550842285
9775,5,14,2294.69002532959
6885,7,15,3209.6300659179688
442,8,21,4039.5100593566895
10779,5,18,3074.6100578308105
6287,6,21,4577.3900718688965
6230,9,33,5826.340101242065
8955,3,9,1739.850040435791
10448,4,13,2307.7300567626953
4519,2,7,1309.7700271606445
367,3,5,1179.780029296875
7303,5,14,2849.6100463867188
1936,7,21,4639.650100708008
12402,3,12,1959.720012664795
1202,4,7,1324.8200225830078
3847,2,8,1259.8000183105469
3452,4,9,1604.860034942627
4509,4,12,2464.6300354003906
8791,6,19,4469.550064086914
3120,5,15,2625.6500511169434
6806,8,25,5823.5100746154785
10178,5,15,2744.6400566101074
243,4,14,2549.6100425720215
2797,3,7,1399.830005645752
1919,3,11,2109.7400550842285
9887,7,27,4870.440090179443
10923,6,12,2339.7800483703613
2371,3,10,2369.7600593566895
6879,5,17,3529.6300773620605
8611,4,9,1549.6500129699707
5572,2,8,1854.780044555664
5850,3,10,1809.8200302124023
11334,4,9,2105.8300247192383
7626,2,4,569.9700107574463
11842,2,7,949.7300071716309
6911,2,7,1387.8100204467773
8887,4,14,2829.7600746154785
720,3,10,1229.8700218200684
10433,1,2,599.9499969482422
4174,3,7,1509.8600311279297
296,7,23,4559.400074005127
5936,7,23,5389.550106048584
1217,2,7,1209.8600273132324
9750,7,21,4094.43009185791
926,4,13,2424.600025177002
12390,3,11,2219.6099967956543
10431,4,10,1629.9000358581543
10695,3,10,1989.8900527954102
6362,5,14,2429.7800674438477
4082,4,13,2849.650058746338
3081,7,17,3759.580089569092
8133,4,11,2299.7600479125977
10632,2,4,829.8900299072266
10510,4,11,2259.720043182373
11673,5,12,1939.6700172424316
19,8,24,4355.620079040527
2551,3,9,1999.7400398254395
11574,8,21,4444.5000648498535
4929,8,26,4889.420076370239
6264,3,11,2569.7700691223145
4552,7,23,5444.4000816345215
7827,2,5,659.8800048828125
965,4,15,2020.7100257873535
11843,2,8,1539.810043334961
12328,7,13,2802.8200721740723
1447,3,7,1929.8400497436523
1782,8,30,5979.180107116699
54,5,17,3109.6800689697266
8360,6,16,3524.770076751709
9341,7,25,5239.550104141235
11454,6,19,3529.5100440979004
9332,6,16,2494.6700477600098
3051,7,24,5779.240116119385
10620,7,24,4860.46008682251
6183,4,9,1575.7900390625
8082,3,11,1616.810043334961
1951,6,17,4161.530097961426
4848,5,13,2909.730052947998
11582,4,15,2324.6300468444824
6700,4,16,2547.5800437927246
6297,4,10,1859.7600440979004
9952,5,13,2659.5700187683105
8057,3,9,2159.840057373047
7233,3,13,3146.7600650787354
10374,4,9,1649.8200378417969
1537,8,31,6567.260091781616
6162,7,16,3914.560089111328
3069,5,10,2069.790050506592
6508,5,18,3689.550079345703
6363,3,10,2484.760051727295
6319,9,26,5154.5900802612305
6407,5,20,4559.5200843811035
2857,6,20,4319.670104980469
9051,4,8,1357.900032043457
4256,4,12,1887.7300453186035
7077,1,5,979.8500061035156
11634,2,5,941.8800010681152
10151,3,12,2159.750057220459
6189,1,4,919.9300231933594
6693,4,12,2889.6400871276855
1280,4,10,2528.680019378662
1671,4,8,1169.840030670166
6578,2,5,789.9500198364258
10176,3,14,2319.7200622558594
11810,1,2,399.9100036621094
9242,2,4,809.9000244140625
2157,9,22,4874.4400806427
6361,6,17,2859.720058441162
6917,6,14,3179.7100830078125
7872,3,8,1829.8700523376465
5417,8,24,4349.480052947998
5339,5,14,2521.690055847168
5741,9,26,5170.350078582764
9135,5,14,3989.640106201172
415,4,13,3081.730049133301
3252,5,7,1363.8400382995605
4905,6,17,2969.7000732421875
6172,3,11,1635.6500091552734
847,9,31,5260.310104370117
1336,6,17,3949.6000938415527
348,3,13,2294.6300163269043
277,5,18,3447.7000885009766
11085,2,6,1349.8700256347656
287,5,15,3059.6700744628906
7949,6,20,4799.550109863281
7202,7,23,4214.410097122192
11112,8,30,6154.260147094727
8881,4,13,2504.5800132751465
6664,10,33,6464.9901123046875
11204,6,23,4176.590093612671
5692,3,6,1189.7499961853027
7612,5,13,2929.7400512695312
7215,7,24,5189.450134277344
7867,5,11,2379.780044555664
2486,5,13,2009.6900367736816
12253,7,21,4994.390098571777
11686,3,10,2345.7200622558594
1958,5,16,3769.6401023864746
12085,5,17,2859.470039367676
1594,2,4,559.9700164794922
10748,4,10,2289.800048828125
9019,6,20,4105.480068206787
7800,6,21,4117.520111083984
10988,4,11,2295.6700477600098
10426,5,16,4017.480068206787
2940,4,10,1879.8100395202637
11638,1,4,749.840015411377
1077,1,5,1079.8300170898438
6922,5,10,1824.760009765625
5799,2,7,2079.8300399780273
10028,2,5,1089.8000106811523
6760,3,9,2179.770050048828
2648,3,7,1409.8000373840332
9891,4,13,1919.7200508117676
4117,3,6,829.8700218200684
9102,2,9,1281.8400211334229
3640,2,6,869.8500061035156
8493,2,6,1119.790018081665
12216,4,11,1939.8200607299805
11142,5,16,2949.5500297546387
5126,5,17,3099.4200286865234
502,9,29,5269.290069580078
8977,4,15,3019.680046081543
12164,5,14,2016.6700286865234
2244,2,6,979.890022277832
6130,8,24,6104.410120010376
3603,9,29,5920.210132598877
1921,6,23,4865.480094909668
3680,5,20,3669.4800567626953
5888,4,13,2349.8400497436523
9207,3,10,2289.7500343322754
4161,3,9,1579.8000373840332
11420,7,21,3749.570098876953
4113,6,23,4639.270042419434
4473,7,20,3571.4600715637207
6225,4,13,2829.8600540161133
2881,8,24,4260.300024032593
9134,4,13,1893.75004196167
10946,5,10,2199.8200454711914
10284,8,20,3493.4600620269775
10382,4,15,2993.3700561523438
1480,5,15,3204.8200645446777
656,5,24,4455.3900718688965
4108,3,10,2589.6800537109375
1055,4,17,3462.450038909912
11678,9,26,5119.480110168457
8846,1,4,819.9400177001953
7234,7,21,4585.400093078613
9114,3,13,2429.780055999756
3302,8,27,5494.220134735107
8228,3,5,1077.9100341796875
9809,3,7,1413.8700408935547
3382,3,9,1439.8500175476074
2088,5,14,3109.660068511963
10141,3,9,2048.660026550293
7504,6,22,4134.610076904297
6322,2,10,1744.7800254821777
3296,8,27,4664.440065383911
8640,5,14,2537.7700691223145
5729,4,11,2289.830062866211
9295,3,9,1519.9000358581543
11124,8,28,5584.360130310059
6262,3,5,1275.8300247192383
10246,4,13,2619.6600608825684
10670,3,10,1849.7600364685059
10070,2,8,1629.8600463867188
10622,2,6,989.900032043457
4872,3,12,1729.7000255584717
3144,7,19,3877.4101009368896
2583,1,4,363.9700126647949
8146,2,5,1074.9400100708008
3869,3,8,1459.7400436401367
5107,7,23,3811.530086517334
7032,3,7,1869.7800369262695
7637,2,3,699.9500122070312
9954,6,12,2724.700065612793
7539,2,6,1359.8700218200684
11581,3,8,1439.860050201416
11943,3,12,2664.610050201416
6555,1,1,199.99000549316406
2900,2,4,939.9000244140625
10168,4,15,2949.6000328063965
9526,5,12,1769.670051574707
385,3,5,1229.8200378417969
10123,2,10,1861.7600440979004
2175,6,16,3019.8000564575195
7139,9,28,6609.2801513671875
2403,10,26,4800.350044250488
1738,6,19,4164.500080108643
12202,4,15,3009.530055999756
1599,9,30,6605.280170440674
11009,4,10,2699.8100814819336
10875,4,15,3639.600070953369
5918,5,14,3519.670082092285
10388,2,3,599.9700164794922
8777,5,18,3879.6200561523438
2364,4,15,3949.62007522583
8438,2,6,1339.8600425720215
11038,3,7,1079.890007019043
8187,6,18,3669.4600715637207
112,7,15,3184.680072784424
11846,6,16,3484.6200408935547
2400,5,8,1133.7300033569336
5579,11,30,5709.270076751709
9156,2,3,279.97000885009766
9348,5,14,2929.580047607422
2878,5,14,2289.7400512695312
7555,5,11,2779.850067138672
9418,6,18,3017.6700477600098
6605,4,16,2505.7000255584717
3324,4,10,2509.7300415039062
4300,5,11,2609.650032043457
7010,6,21,3647.3400535583496
155,4,13,2389.7300186157227
6252,2,7,1309.8100204467773
7207,3,9,2049.830041885376
113,5,9,1658.7500305175781
10182,4,13,2259.6900215148926
12138,4,11,2589.7400512695312
4131,2,6,1289.9300384521484
1042,5,12,2055.810047149658
1882,6,22,4554.5000648498535
6351,4,11,2074.860040664673
5009,5,17,3243.6500663757324
10166,3,12,2289.720027923584
9852,2,5,754.9400177001953
10428,8,21,4053.510078430176
167,1,2,329.9800109863281
5208,2,6,1381.9100131988525
736,8,26,3959.48006439209
831,5,20,4519.540096282959
8421,5,16,2799.600067138672
7540,2,4,739.9700164794922
5172,3,5,859.8700256347656
2672,2,6,1479.8900451660156
299,2,5,1039.860019683838
5915,2,6,649.8300113677979
12073,2,7,1174.8000183105469
9228,2,5,1209.9100341796875
12272,1,3,709.9400177001953
5343,3,11,2344.8300380706787
10282,4,17,3649.5600547790527
5025,3,8,1339.7700080871582
5364,6,27,5459.380084991455
4220,6,18,3589.600046157837
12215,7,16,2659.6700477600098
6044,3,11,1704.760046005249
7796,3,12,2443.8100509643555
10078,5,14,2409.6200408935547
6690,6,15,2579.600070953369
2882,8,18,2649.710063934326
11700,6,24,5277.350112915039
11148,6,25,4979.600118637085
9746,5,23,4436.590124130249
10000,2,4,659.8700065612793
4684,6,19,3104.660068511963
10019,6,14,2401.7100467681885
2660,5,14,2529.7500343322754
2341,5,18,3629.6400566101074
6676,4,11,1907.870044708252
857,6,19,3747.6800575256348
1983,4,13,2749.71004486084
3158,2,7,1289.8600234985352
6635,9,26,4064.350046157837
1497,4,10,2409.670066833496
2549,9,26,5474.480121612549
8037,4,10,2279.750030517578
9270,3,9,2219.750045776367
7911,2,5,1199.910026550293
347,4,12,2347.630048751831
564,8,25,5434.320140838623
11222,3,9,2209.760055541992
4028,6,21,3626.510078430176
1740,6,20,3655.6300945281982
10240,5,14,2889.610019683838
2278,9,29,5699.600135803223
4798,5,19,4709.670127868652
11419,5,17,3309.6800842285156
6614,4,13,2297.780040740967
7608,7,10,1834.780014038086
4762,3,11,1999.8600540161133
1636,7,26,6129.230129241943
7819,5,12,3189.6300735473633
3484,3,6,829.8400230407715
241,7,26,5352.380081176758
10499,3,8,1493.9300384521484
6136,1,3,429.9500045776367
8801,4,7,1073.9200115203857
237,2,4,969.910026550293
11393,2,7,1619.6900329589844
12237,3,5,1059.8900260925293
3491,2,5,909.9300308227539
3888,3,10,1751.8600387573242
602,5,19,4079.5900955200195
8320,4,8,2269.7200317382812
11101,5,9,2209.7400512695312
7325,1,4,889.9400177001953
7408,3,9,1429.660026550293
6479,2,6,1419.8800354003906
1547,2,7,1409.8000259399414
5213,4,14,2944.7500762939453
588,1,4,694.9000091552734
3662,1,2,799.9600219726562
5304,2,8,1659.7500114440918
5396,5,17,2284.6700382232666
1905,5,18,3179.610080718994
8254,8,30,5437.2601318359375
11037,6,19,3465.4700469970703
6809,4,8,1959.8200378417969
11441,4,10,1839.8800430297852
5871,6,10,1815.710048675537
6086,10,32,5366.330137252808
2378,6,17,3615.5300903320312
9032,6,16,2483.6600494384766
1640,5,12,2055.730026245117
9672,2,8,1169.8700370788574
1241,3,12,2569.5700454711914
8174,9,26,5124.43009185791
9567,5,20,4139.520092010498
8965,5,18,3764.3900718688965
2263,4,13,2369.830051422119
2681,5,16,2749.660068511963
22,5,16,2744.680046081543
5279,6,18,3627.600076675415
2355,3,9,1909.8500518798828
3930,3,6,929.7900161743164
6313,5,19,3649.590072631836
4935,5,19,2896.57004737854
9969,7,27,5109.2800941467285
4235,5,20,4329.360092163086
724,4,15,2939.830057144165
5287,3,10,1364.7200202941895
11623,5,17,2889.5600204467773
4480,2,2,279.95999908447266
7616,7,24,5429.440101623535
5964,4,19,3819.440071105957
6226,1,2,699.9600219726562
198,6,13,2464.670036315918
7499,5,13,2339.810047149658
8264,4,14,2335.7300548553467
4206,4,8,1699.840045928955
330,4,13,2309.7800369262695
7148,4,11,2339.7200260162354
6862,7,24,5849.36014175415
4187,8,25,5604.460094451904
11913,5,15,3509.490058898926
1338,2,6,1119.8800296783447
8104,1,2,489.9600067138672
3200,6,20,3696.4200401306152
7392,4,14,3094.6200408935547
11143,5,14,2109.740036010742
2612,6,18,3564.580051422119
7996,5,22,4044.430051803589
12047,5,19,3513.6000785827637
10924,2,4,1349.8500366210938
5846,3,9,2049.630039215088
3368,2,9,1669.8000221252441
11595,5,20,3389.4500694274902
4478,5,17,2955.5300312042236
1711,6,21,4339.5200843811035
7985,4,10,2039.890037536621
4603,3,5,974.9300174713135
2488,4,16,2929.4900436401367
10624,3,5,1009.8400115966797
1211,6,15,2461.6800651550293
1526,1,5,879.9200210571289
2317,3,11,2494.5200119018555
2966,3,8,1509.8800430297852
6678,3,4,419.94000244140625
10321,6,14,2259.720054626465
2535,1,3,419.9500045776367
530,2,4,729.9500122070312
2489,1,4,1019.8600311279297
5895,3,13,2589.620029449463
4277,1,5,1239.8400230407715
10287,3,12,1909.5900192260742
1374,6,19,4212.5200843811035
6933,4,11,1839.8400421142578
486,7,21,3304.530044555664
487,7,21,3683.490089416504
3821,4,7,1193.850025177002
6081,6,20,4859.57010269165
2277,6,22,4459.590091705322
196,4,16,3204.420030593872
8964,9,26,6779.420177459717
6722,6,15,2517.780044555664
8078,7,31,6114.17008972168
2473,6,19,2679.680072784424
8461,4,11,1999.770034790039
1428,4,13,3883.6700286865234
10861,4,13,2309.7300567626953
7967,7,21,4551.510076522827
8716,5,15,3109.5400428771973
11667,8,32,4712.370115280151
8319,3,7,1399.9100341796875
7826,6,15,2348.500030517578
1157,4,12,2839.8200874328613
12064,9,23,5515.420085906982
4806,7,25,5355.350116729736
3125,4,10,2439.7000694274902
3024,5,12,3089.7800483703613
7226,5,12,2351.660026550293
823,5,20,3869.5500869750977
10091,5,15,2379.7800636291504
4482,3,6,1119.8000259399414
1972,10,33,5994.320150375366
932,2,8,1559.7800407409668
2439,4,12,3049.5900650024414
6284,4,12,2419.7200508117676
1403,4,11,2359.6600494384766
1152,5,18,3759.680076599121
7576,4,11,2071.8900451660156
6985,6,14,1849.6400337219238
4923,1,4,1199.930030822754
7478,7,20,4409.650077819824
5544,3,12,1739.7000312805176
1059,5,19,4201.50012588501
9188,3,8,1584.8300437927246
5551,3,11,1869.7800254821777
7783,7,18,2944.760051727295
11830,4,9,1689.83003616333
2706,7,19,3759.61004447937
12029,3,6,1125.880027770996
427,3,12,2829.6100692749023
6458,2,5,1069.860019683838
4545,4,11,2258.8400230407715
11982,4,11,1839.7300186157227
1050,2,4,719.8800201416016
11856,9,22,4269.580108642578
2282,2,8,1434.7600288391113
11329,4,11,2439.7300415039062
11617,2,6,1499.8900413513184
2828,3,10,1458.8000221252441
130,2,4,779.9500160217285
7052,5,17,3669.620050430298
4819,6,22,4206.430095672607
4517,10,33,6119.380096435547
5446,9,28,5939.3401222229
8253,5,12,2548.720054626465
10546,3,9,1939.9000282287598
2775,4,14,2287.750026702881
4377,5,11,2657.7600650787354
3240,5,20,3595.62007522583
4729,6,14,2311.730047225952
10425,4,11,1914.6100120544434
11450,5,16,3191.6000652313232
7093,5,11,2221.680051803589
1760,4,15,2669.740058898926
11074,6,16,3319.6900901794434
7270,6,17,3901.4900913238525
5625,5,15,3109.64005279541
9818,2,9,1354.8200340270996
5605,3,11,2819.7500534057617
10655,4,12,2409.8100509643555
10473,7,16,2539.690010070801
8536,4,13,2294.5800437927246
2720,3,9,2569.840051651001
7372,1,1,399.9599914550781
1527,5,13,2829.720073699951
2007,4,7,1869.7000045776367
9342,6,11,1644.8300457000732
11115,7,21,4879.430122375488
2983,6,12,2929.8300399780273
6184,8,21,4649.510124206543
10037,3,6,899.8900337219238
4925,4,11,1599.8800354003906
8267,1,5,1209.9100341796875
6734,5,21,4489.720115661621
6858,5,14,3089.580078125
1979,9,31,6063.190105438232
1353,3,12,2246.790044784546
1505,5,23,4914.320091247559
3352,4,11,2403.7400436401367
11257,5,16,3449.760097503662
7881,6,14,2445.6100425720215
9266,3,4,1229.8700408935547
2611,5,12,2344.730047225952
6893,9,25,6149.370136260986
6921,5,14,2904.6700744628906
10710,1,3,859.950023651123
77,7,15,3142.720079421997
4636,6,16,3029.610065460205
7,7,22,5569.48010635376
8907,2,6,639.8700180053711
8452,5,12,2329.8300590515137
5690,4,11,2934.790054321289
11832,4,11,2199.7200469970703
10684,4,15,2309.650043487549
5099,4,13,1604.8300247192383
6956,4,13,3069.6100425720215
11953,3,6,1194.8300113677979
9535,6,15,3919.6701011657715
3489,4,7,1241.900037765503
10520,1,3,479.9100036621094
1873,4,16,2728.570053100586
7918,6,14,3084.700096130371
5193,5,14,1989.8200492858887
4559,5,15,4091.530086517334
10615,4,13,2279.7000427246094
677,2,8,1064.8900260925293
2241,4,10,2354.780055999756
3243,2,7,1209.820026397705
4413,3,9,2529.750030517578
3988,3,5,879.8700294494629
9994,1,1,119.9800033569336
6502,2,2,264.99000549316406
10989,1,2,294.9800033569336
532,6,20,3425.660087585449
8353,4,18,3444.550075531006
6491,5,14,3199.6500854492188
10466,2,7,1239.8700256347656
3362,4,15,2569.6400604248047
4492,6,22,4288.510097503662
5721,6,20,4215.5800857543945
6999,7,17,3507.560070037842
4139,5,16,4139.580108642578
9117,6,17,3824.6300926208496
5823,1,1,119.97000122070312
9504,8,26,6309.460113525391
12236,4,11,2709.7500381469727
5400,4,11,2521.720058441162
184,5,11,2319.720039367676
10715,7,15,3219.6100730895996
1540,10,30,7094.43016242981
8495,3,6,1175.7900314331055
3854,3,12,1689.8200206756592
2961,6,17,2465.6200523376465
11894,4,13,1807.7800331115723
3311,6,14,2949.820056915283
5219,4,17,3999.6400985717773
3161,10,25,3863.420063018799
7861,6,20,3122.490032196045
635,7,14,3282.720058441162
4668,5,18,3404.450054168701
3495,4,12,2329.660057067871
858,4,10,1574.7400360107422
12113,4,15,2934.5900955200195
12037,4,13,2309.7900581359863
4657,7,24,4439.60009765625
4179,3,10,2619.8000679016113
3269,3,5,749.8700180053711
2476,4,17,4039.6200637817383
5496,7,15,2833.7000579833984
12300,4,10,2099.820037841797
34,7,16,2989.6800651550293
2158,4,11,2624.6900634765625
7845,5,15,3259.6900939941406
7287,5,11,2519.7700729370117
10759,7,23,4411.430095672607
12127,5,16,2524.6000328063965
6471,5,12,1849.7500343322754
9778,5,16,3109.7200660705566
5275,3,12,1989.5900077819824
10456,6,16,3139.7100563049316
2724,4,15,1921.7000331878662
1687,4,13,2137.72003364563
4051,2,10,1879.720043182373
4732,5,16,3379.600067138672
12260,4,13,2449.7400550842285
7759,1,5,1159.9300384521484
10106,2,5,1049.910026550293
1887,5,12,2779.6900482177734
6045,4,14,2495.7500286102295
5693,5,17,4029.690116882324
7742,2,8,1161.9199924468994
7111,4,10,2379.840057373047
10566,3,10,1483.8100452423096
9908,5,14,2914.610061645508
5031,3,7,1344.8100090026855
5882,3,5,674.9100131988525
1529,3,10,2569.7200660705566
8943,2,7,1049.890022277832
7384,2,5,754.8600158691406
1041,1,5,929.890022277832
6201,3,7,1289.8700370788574
2929,3,9,2129.760055541992
8595,3,13,2202.8000316619873
1427,2,4,909.9300231933594
9218,3,5,1239.890037536621
9163,6,14,2874.7600708007812
8600,5,13,2465.720058441162
7370,5,16,4139.490081787109
2181,4,9,1539.8000373840332
6380,5,14,2774.760076522827
6762,2,3,849.9300079345703
939,3,12,2061.6200408935547
1542,6,21,4217.380054473877
463,5,17,3167.610050201416
7618,4,16,2959.610076904297
2309,6,20,3182.4900512695312
4066,7,23,4062.5500564575195
3634,6,20,3619.550024032593
12171,5,7,1939.8700561523438
6478,6,16,2487.6800384521484
9037,6,13,2472.6200370788574
10418,6,16,3709.6500816345215
551,6,19,4229.53010559082
853,4,13,2679.7800674438477
5947,3,8,1239.7200202941895
3031,8,24,6159.520133972168
5913,7,25,4288.440052032471
2508,8,31,5753.330101013184
7905,6,24,4555.370059967041
11308,2,7,1324.80002784729
4370,3,10,1919.6800155639648
10530,5,16,2814.700071334839
6089,5,23,4441.330081939697
10259,3,11,2209.630058288574
7036,6,15,3409.6000595092773
1200,5,17,2518.5600357055664
7411,4,11,1827.77001953125
10555,8,29,5728.190055847168
8102,6,18,3410.5200729370117
4147,7,22,4385.5800132751465
5224,3,10,1889.700050354004
6680,4,12,1999.8500633239746
8342,6,15,3076.7000694274902
1329,3,9,1637.730037689209
8285,7,28,5440.440090179443
3341,9,21,4199.550094604492
10967,8,27,5734.410140991211
2033,5,9,1449.8500480651855
9330,2,5,669.8500137329102
11206,2,7,2149.780044555664
5733,7,23,4154.470054626465
1471,5,11,2289.780055999756
11440,2,6,1089.9200172424316
6647,1,5,1429.9200286865234
10723,2,2,164.98000717163086
3865,5,17,3229.650058746338
7566,5,15,3129.640064239502
9623,2,7,1509.890037536621
6055,7,19,2799.6800498962402
7953,4,11,2277.770050048828
9432,9,31,5376.350109100342
6113,6,15,2555.5300483703613
830,5,17,3223.5500450134277
10297,2,6,1539.81001663208
5581,2,5,699.9600143432617
1460,6,21,4406.530080795288
3102,4,12,2329.5900382995605
5957,4,12,2559.7400512695312
9034,3,11,2129.850051879883
8318,1,2,239.96000289916992
1319,3,5,711.9100112915039
5483,1,5,1529.9000244140625
11858,4,14,3459.670066833496
12131,7,20,3849.510066986084
8368,9,28,5874.150100708008
3326,6,14,2954.470016479492
9447,5,17,3189.5500526428223
1483,2,8,1779.8200454711914
6331,4,6,1759.680004119873
11598,4,9,1899.670036315918
6250,5,14,3039.5800552368164
3696,9,24,4367.540102005005
1445,10,35,6473.270133972168
4138,2,7,2149.790008544922
9589,6,23,5077.5101318359375
2575,4,10,1592.840030670166
11214,5,17,3124.48002243042
11470,5,15,2461.6700534820557
5284,6,16,2299.5800380706787
3787,3,10,2009.7400398254395
693,6,13,2677.640064239502
12015,4,15,3329.720085144043
5422,2,6,839.9200286865234
2942,6,18,5189.640098571777
8810,4,13,2836.73006439209
5618,5,15,2654.800060272217
3692,5,17,3495.610107421875
7818,4,12,2339.850051879883
7350,2,3,699.9300079345703
12192,8,26,5193.390104293823
11584,7,23,4858.510093688965
3766,4,16,2209.6400413513184
5142,1,2,171.95999908447266
11014,6,20,4093.6100845336914
4970,3,4,879.8300094604492
5245,7,23,4169.410064697266
8945,3,7,1769.9000244140625
